"cemetery","year","month","new_graves_best_ipol","new_graves_ocha","new_graves_bdc"
"Iskool Bolisii",2020,5,84,0,NA
"Iskool Bolisii",2020,6,93,0,NA
"Iskool Bolisii",2020,7,83,0,NA
"Iskool Bolisii",2020,8,0,0,NA
"Iskool Bolisii",2020,9,0,0,NA
"Kahda",2020,5,58,58,NA
"Kahda",2020,6,25,53,NA
"Kahda",2020,7,43,35,NA
"Kahda",2020,8,49,0,NA
"Kahda",2020,9,44,15,NA
"Moallim Nuur",2020,5,16,72,NA
"Moallim Nuur",2020,6,6,116,NA
"Moallim Nuur",2020,7,7,113,NA
"Moallim Nuur",2020,8,3,122,NA
"Moallim Nuur",2020,9,0,114,NA
"Abdirashid",2020,5,NA,2,NA
"Abdirashid",2020,6,NA,0,NA
"Abdirashid",2020,7,NA,3,NA
"Abdirashid",2020,8,NA,0,NA
"Abdirashid",2020,9,NA,0,NA
"Madiina Hospital",2020,5,NA,0,NA
"Madiina Hospital",2020,6,NA,0,NA
"Madiina Hospital",2020,7,NA,0,NA
"Madiina Hospital",2020,8,NA,0,NA
"Madiina Hospital",2020,9,NA,0,NA
"El Adde",2020,5,NA,113,NA
"El Adde",2020,6,NA,118,NA
"El Adde",2020,7,NA,147,NA
"El Adde",2020,8,NA,133,NA
"El Adde",2020,9,NA,132,NA
"Jazeera",2020,5,NA,84,NA
"Jazeera",2020,6,NA,121,NA
"Jazeera",2020,7,NA,94,NA
"Jazeera",2020,8,NA,108,NA
"Jazeera",2020,9,NA,92,NA
"Barakaat 1 + 2",2019,4,155,NA,494
"Barakaat 1 + 2",2019,5,160,NA,532
"Barakaat 1 + 2",2019,6,155,NA,473
"Barakaat 1 + 2",2020,1,178,NA,778
"Barakaat 1 + 2",2020,2,209,NA,389
"Barakaat 1 + 2",2020,3,279,NA,390
"Barakaat 1 + 2",2020,4,313,NA,609
"Barakaat 1 + 2",2020,5,285,474,NA
"Barakaat 1 + 2",2020,6,336,376,NA
"Barakaat 1 + 2",2020,7,230,422,NA
"Barakaat 1 + 2",2020,8,189,378,NA
"Barakaat 1 + 2",2020,9,290,390,NA
