"year","month","date","new_area_ipol"
2016,10,2016-10-31,2235
2016,11,2016-11-30,1980
2016,12,2016-12-31,2008
2017,1,2017-01-31,2003
2017,10,2017-10-31,3155
2017,11,2017-11-30,3052
2017,12,2017-12-31,3154
2017,2,2017-02-28,1883
2017,3,2017-03-31,3154
2017,4,2017-04-30,3052
2017,5,2017-05-31,3154
2017,6,2017-06-30,3053
2017,7,2017-07-31,3154
2017,8,2017-08-31,3154
2017,9,2017-09-30,3053
2018,1,2018-01-31,2969
2018,10,2018-10-31,2940
2018,11,2018-11-30,2610
2018,12,2018-12-31,1537
2018,2,2018-02-28,2681
2018,3,2018-03-31,2968
2018,4,2018-04-30,2873
2018,5,2018-05-31,2986
2018,6,2018-06-30,2891
2018,7,2018-07-31,2986
2018,8,2018-08-31,2977
2018,9,2018-09-30,2846
2019,1,2019-01-31,1901
2019,10,2019-10-31,2569
2019,11,2019-11-30,2616
2019,12,2019-12-31,2878
2019,2,2019-02-28,2472
2019,3,2019-03-31,2735
2019,4,2019-04-30,2648
2019,5,2019-05-31,2736
2019,6,2019-06-30,2633
2019,7,2019-07-31,2569
2019,8,2019-08-31,2568
2019,9,2019-09-30,2486
2020,1,2020-01-31,3293
2020,2,2020-02-29,4143
2020,3,2020-03-31,5066
2020,4,2020-04-30,5403
2020,5,2020-05-31,3928
2020,6,2020-06-30,3015
2020,7,2020-07-31,2671
2020,8,2020-08-31,2740
2020,9,2020-09-16,1423
